STATION_ID,STATION_NAME,LAT,LON,CAPACITY,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,OCCUPATION_RATIO,TOTAL_CAPACITY,RATIO
350,"C/ VILLARROEL, 208",41.3920520,2.1480223,31,1,28,0.0323,31,0.0323
351,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT",41.3621232,2.1356187,33,7,26,0.2121,33,0.2121
352,"C/RADI,10/GRAN VIA DE LES CORTS CATALA",41.3632790,2.1341586,28,16,11,0.5714,28,0.5714
353,C/ MUNNÉ  2-6,41.3754100,2.1232547,31,3,25,0.0968,31,0.0968
354,"RAMBLA DEL BRASIL, 5",41.3759419,2.1299539,27,0,26,0.0000,27,0.0000
355,"C/ RIERA BLANCA, 123",41.3714590,2.1278540,27,3,24,0.1111,27,0.1111
356,"C/ CAMÈLIES, 73",41.4134503,2.1631012,35,3,31,0.0857,35,0.0857
357,"C/ CARDENER, 59",41.4105956,2.1579897,27,0,24,0.0000,27,0.0000
358,"C/ GOMBAU, 24",41.3872437,2.1793035,26,19,5,0.7308,26,0.7308
359,"C/ MÉNDEZ NÚÑEZ, 16",41.3900544,2.1775594,26,16,9,0.6154,26,0.6154
360,"C/ BAILÉN, 62",41.3952527,2.1730023,30,4,25,0.1333,30,0.1333
